Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,y,rating
2021-03-01,13406.16015625,13596.58984375,13362.66015625,13588.830078125,5079530000,0.0,0.0,58.52,greed
2021-03-02,13599.4501953125,13601.330078125,13352.0,13358.7900390625,4948140000,0.0,0.0,50.32000000000001,neutral
2021-03-03,13336.25,13372.51953125,12995.0703125,12997.75,5529980000,0.0,0.0,43.84,fear
2021-03-04,12953.990234375,13068.7099609375,12553.9599609375,12723.4697265625,7864380000,0.0,0.0,37.8,fear
2021-03-05,12860.0400390625,12941.2099609375,12397.0498046875,12920.150390625,7725200000,0.0,0.0,41.52,fear
2021-03-08,12904.259765625,13001.0,12599.23046875,12609.16015625,6010230000,0.0,0.0,39.08,fear
2021-03-09,12923.0703125,13151.5400390625,12882.490234375,13073.8203125,6345560000,0.0,0.0,43.36,fear
2021-03-10,13234.73046875,13277.1103515625,13035.4404296875,13068.830078125,6023880000,0.0,0.0,45.56,neutral
2021-03-11,13273.3095703125,13433.6201171875,13246.330078125,13398.669921875,6008850000,0.0,0.0,50.480000000000004,neutral
2021-03-12,13222.8095703125,13324.6904296875,13158.7197265625,13319.8603515625,5497210000,0.0,0.0,53.720000000000006,neutral
2021-03-15,13323.4697265625,13460.349609375,13272.5,13459.7099609375,5972370000,0.0,0.0,56.52,greed
2021-03-16,13523.169921875,13620.7099609375,13397.080078125,13471.5703125,5493890000,0.0,0.0,54.8,neutral
2021-03-17,13336.91015625,13595.0,13272.6904296875,13525.2001953125,5536110000,0.0,0.0,57.86666666666667,greed
2021-03-18,13349.2001953125,13384.4599609375,13101.919921875,13116.169921875,5739720000,0.0,0.0,52.333333333333336,neutral
2021-03-19,13119.900390625,13252.3701171875,13039.4501953125,13215.240234375,7630590000,0.0,0.0,50.833333333333336,neutral
2021-03-22,13278.7802734375,13455.6396484375,13278.7802734375,13377.5400390625,5321760000,0.0,0.0,50.699999999999996,neutral
2021-03-23,13381.4296875,13405.150390625,13202.4296875,13227.7001953125,5675010000,0.0,0.0,41.800000000000004,fear
2021-03-24,13289.240234375,13292.919921875,12961.349609375,12961.8896484375,6248650000,0.0,0.0,37.66666666666667,fear
2021-03-25,12844.580078125,13021.8603515625,12786.8095703125,12977.6796875,5634290000,0.0,0.0,37.833333333333336,fear
2021-03-26,12996.0302734375,13149.5498046875,12878.7197265625,13138.73046875,5224360000,0.0,0.0,37.56666666666667,fear
2021-03-29,13103.9697265625,13143.41015625,12968.16015625,13059.650390625,4965090000,0.0,0.0,39.56666666666667,fear
2021-03-30,13008.7998046875,13075.75,12922.5703125,13045.3896484375,4721950000,0.0,0.0,42.03333333333334,fear
2021-03-31,13122.5703125,13325.5400390625,13118.3798828125,13246.8701171875,5004720000,0.0,0.0,44.56666666666667,fear
2021-04-01,13414.3203125,13487.080078125,13404.1796875,13480.1103515625,4576480000,0.0,0.0,46.400000000000006,neutral
