Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-04-23 09:30:00-04:00,16871.033203125,16871.033203125,16862.5546875,16862.59375,0,0.0,0.0
2025-04-23 09:31:00-04:00,16866.548828125,16880.21484375,16866.548828125,16880.21484375,56829822,0.0,0.0
2025-04-23 09:32:00-04:00,16887.447265625,16887.447265625,16870.86328125,16879.845703125,55371682,0.0,0.0
2025-04-23 09:33:00-04:00,16879.89453125,16902.125,16879.89453125,16902.125,54249129,0.0,0.0
2025-04-23 09:34:00-04:00,16900.0625,16900.44921875,16879.841796875,16884.962890625,61518000,0.0,0.0
2025-04-23 09:35:00-04:00,16879.39453125,16879.39453125,16855.826171875,16855.826171875,49587000,0.0,0.0
2025-04-23 09:36:00-04:00,16851.501953125,16851.501953125,16819.69140625,16819.69140625,45596000,0.0,0.0
2025-04-23 09:37:00-04:00,16827.2109375,16932.490234375,16816.779296875,16932.490234375,42879000,0.0,0.0
2025-04-23 09:38:00-04:00,16952.51953125,16952.51953125,16889.109375,16921.552734375,33366000,0.0,0.0
2025-04-23 09:39:00-04:00,16923.26953125,16923.26953125,16878.384765625,16898.642578125,40838000,0.0,0.0
2025-04-23 09:40:00-04:00,16881.779296875,16914.171875,16881.779296875,16908.14453125,57332000,0.0,0.0
2025-04-23 09:41:00-04:00,16903.296875,16933.40234375,16903.296875,16928.806640625,51355000,0.0,0.0
2025-04-23 09:42:00-04:00,16929.48046875,16929.48046875,16906.939453125,16906.939453125,43568000,0.0,0.0
2025-04-23 09:43:00-04:00,16910.482421875,16927.537109375,16910.482421875,16927.537109375,41786000,0.0,0.0
2025-04-23 09:44:00-04:00,16934.490234375,16942.865234375,16931.8828125,16933.6640625,31956000,0.0,0.0
2025-04-23 09:45:00-04:00,16929.806640625,16950.3203125,16925.396484375,16950.3203125,38616000,0.0,0.0
2025-04-23 09:46:00-04:00,16954.630859375,16959.47265625,16948.673828125,16957.193359375,31583000,0.0,0.0
2025-04-23 09:47:00-04:00,16959.30859375,16962.044921875,16952.595703125,16956.21484375,30271000,0.0,0.0
2025-04-23 09:48:00-04:00,16961.58984375,16972.296875,16961.58984375,16962.248046875,28427000,0.0,0.0
2025-04-23 09:49:00-04:00,16964.689453125,16977.17578125,16964.33203125,16971.50390625,29540000,0.0,0.0
2025-04-23 09:50:00-04:00,16973.298828125,16973.298828125,16956.4453125,16963.41015625,31310000,0.0,0.0
2025-04-23 09:51:00-04:00,16968.759765625,16992.66796875,16968.759765625,16992.66796875,23983000,0.0,0.0
2025-04-23 09:52:00-04:00,16992.81640625,16992.81640625,16932.322265625,16932.322265625,25594000,0.0,0.0
2025-04-23 09:53:00-04:00,16938.546875,16939.537109375,16927.517578125,16932.498046875,36458000,0.0,0.0
